IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy,label
0.674,0.9997,0.7811,0.7806,0.9993,0.9999,0.9822,0.9826,0.4512,0.9667,0.9676,11.0
1.0,1.0,0.3062,0.3058,1.0,0.9589,0.609,0.5842,0.9817,0.5533,0.5531,11.0
0.9871,0.9999,0.3348,0.3341,0.9999,0.9589,0.606,0.5813,0.9861,0.5543,0.5547,11.0
0.9335,0.9996,0.834,0.8343,0.9992,0.9717,0.9533,0.9267,0.4816,0.6721,0.6723,11.0
0.9521,0.9997,0.6781,0.6773,0.9994,0.9718,0.9278,0.902,0.5197,0.6656,0.6659,11.0
0.9951,0.9999,0.432,0.4324,0.9998,0.972,0.8829,0.8586,0.5868,0.642,0.6413,11.0
0.6746,0.9997,0.7597,0.7599,0.9994,0.9999,0.9823,0.9826,0.4512,0.9784,0.981,11.0
0.9739,0.9998,0.4378,0.4383,0.9997,0.9588,0.5965,0.5722,1.0,0.566,0.5668,11.0
0.6513,0.9995,1.0,1.0,0.999,0.9996,1.0,1.0,0.4238,1.0,1.0,11.0
0.6751,0.9998,0.7296,0.73,0.9994,1.0,0.982,0.9824,0.4517,0.9793,0.9805,11.0
0.9942,0.9999,0.4621,0.4617,0.9998,0.972,0.8834,0.859,0.586,0.642,0.6427,11.0
0.9367,0.9997,0.6524,0.6518,0.9994,0.9584,0.7672,0.7355,0.7486,0.588,0.5888,11.0
0.643,0.9994,1.1674,1.1673,0.9988,0.9995,1.01,1.0099,0.4084,1.0047,1.0051,11.0
